Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Material de decoración (product.metafields.shopify.decoration-material),Formato de papel (product.metafields.shopify.paper-format),Tamaño de papel (product.metafields.shopify.paper-size),Características de la planta (product.metafields.shopify.plant-characteristics),Forma (product.metafields.shopify.shape),Espacio adecuado (product.metafields.shopify.suitable-space),Luz solar (product.metafields.shopify.sunlight),Forma de jarrón (product.metafields.shopify.vase-shape),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
boite-amour-copia,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_0790.jpg?v=1749663130,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boite-amour-copia,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_0831.jpg?v=1749663123,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gateau-morado,Gâteau Morado,"<p>Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes ""regar"" las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas. <br></p>
<p style=""text-align: center;""><span style=""color: rgb(179, 179, 179);"">* El arreglo de las fotos es de tamaño '30 x 40 cms' / El envío no está incluido en este precio</span></p>",Las Lira,Home & Garden > Plants > Flowers,"",Arreglos,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,83000,,true,false,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_9614.jpg?v=1746038850,1,"",false,,,984,,,,,,,,,,,,,,,,,,,,,,kg,,49000,active
gateau-morado,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_9612.jpg?v=1746038850,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gateau-morado,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_9623.jpg?v=1746038850,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gateau-morado,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_9622.jpg?v=1746038850,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gateau-rosado,Gâteau Rosado,"<p>Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes ""regar"" las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas.</p>
<p> <br></p>
<p><span style=""color: rgb(179, 179, 179);"">* El arreglo de las fotos es de tamaño '30 x 40 cms' / El envío no está incluido en este precio</span></p>",Las Lira,Home & Garden > Plants > Flowers,"",Arreglos,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,83000,,true,false,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/MG_0045.jpg?v=1746038466,1,"",false,,,984,,,,,,,,,,,,,,,,,,,,,,kg,,49000,active
gateau-rosado,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/MG_0044.jpg?v=1746038466,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gateau-rosado,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/MG_0080-Edit.jpg?v=1746038466,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gateau-rosado,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/MG_0118-Edit.jpg?v=1746038466,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcala,Alcalá rectangular,"<p><em><meta charset=""utf-8"">Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido<br></em><br>Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes ""regar"" las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas.</p>
<p> <br></p>
<p><span style=""color: rgb(179, 179, 179);"">* El arreglo de las fotos es de tamaño '35 x 25 cms' / El envío no está incluido en este precio</span></p>",Las Lira,Uncategorized,"",Arreglos,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,54000,,true,false,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/MG_0068-Edit.jpg?v=1746037665,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
alcala,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/MG_0020-Edit.jpg?v=1746037665,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcala,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/MG_0027.jpg?v=1746037665,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcala,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/MG_0115.jpg?v=1746037665,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cubo-frutal,Cubo Frutal,"<p data-mce-fragment=""1""><em data-mce-fragment=""1"">Limones o Kumquat son aleatorios, se pondrán sólo de una variedad por arreglo<br></em><br data-mce-fragment=""1"">Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes ""regar"" las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas.</p>
<p data-mce-fragment=""1""> <br data-mce-fragment=""1""></p>
<p><span style=""color: rgb(179, 179, 179);"" data-mce-fragment=""1"">* El arreglo de las fotos es de tamaño '30 x 25 cms' / El envío no está incluido en este precio</span></p>",Las Lira,Uncategorized,"",Arreglos,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,46000,,true,false,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/cubofrutal_49049420-0117-4011-ab4e-ee85a705b8b4.jpg?v=1746037289,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,12500,draft
cubo-frutal,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/MG_0138-Edit.jpg?v=1746037289,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cubo-frutal,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_9531.heic?v=1746037289,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cubo-frutal,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_9530.heic?v=1746037289,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
color-moon-xl,Color Moon XL,"<p data-mce-fragment=""1""><em data-mce-fragment=""1"">Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido</em><br data-mce-fragment=""1""><br>Esta versión de nuestro clásico 'Moon' está hecho con un florero más alto que el que usamos normalmente, agregando más altura e importancia al arreglo.<br><br data-mce-fragment=""1"">Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes ""regar"" las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas.</p>
<p data-mce-fragment=""1""> </p>
<p><span style=""color: #b3b3b3;""><em>* El arreglo de las fotos es de tamaño '70 x 60 cms' / El envío no está incluido en este precio</em></span></p>",Las Lira,Home & Garden > Plants > Flowers,"",Arreglos,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,180000,,true,false,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/MG_0007-Edit.jpg?v=1746032220,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
color-moon-xl,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/MG_0002-Edit.jpg?v=1746032220,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limona-copia,Matero Dolce,"<p><em data-mce-fragment=""1"">Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido</em><br><br>Para que tus flores tengan una vida más larga debes evitar el sol directo o cualquier fuente de calor obvia (como un calefactor por ejemplo). Algunas flores pueden morir antes que otras, sobretodo en este arreglo en donde hay distintos tipos y variedades, por lo que te recomendamos que vayas sacando aquellas que estén moribundas para evitar la acumulación de bacterias y se vean más frescas las que quedan! Preocupate de mantener siempre con agua el florero para no deshidratar las flores.</p>
<p style=""text-align: center;""><meta charset=""utf-8""><span style=""color: #b3b3b3;"">* El arreglo de las fotos es de tamaño '40 x 40 cms' / El envío no está incluido en este precio</span></p>",Las Lira,Home & Garden > Plants > Flowers,Flores,Arreglos,true,Tamaño,Chico 35 x 35,,,,,,,,,100.0,shopify,deny,manual,66000,,true,false,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/MG_0129-Edit.jpg?v=1746031222,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
limona-copia,,,,,,,,,Mediano 42 x 42,,,,,,,,,100.0,shopify,deny,manual,87000,,true,false,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/MG_0084-Edit.jpg?v=1746031222,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
limona-copia,,,,,,,,,Grande 50 x 50,,,,,,,,,100.0,shopify,deny,manual,112000,,true,false,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/MG_0106-Edit.jpg?v=1746031222,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
limona-copia,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/MG_0121-Edit.jpg?v=1746031215,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campana-donna,Campana Donna,"<p data-mce-fragment=""1""><em data-mce-fragment=""1"">Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido</em><br data-mce-fragment=""1""><br data-mce-fragment=""1"">Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes ""regar"" las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas.</p>
<p data-mce-fragment=""1""><span style=""color: #b3b3b3;"" data-mce-fragment=""1"">* El arreglo de las fotos es de tamaño '55 x 40 cms' / El envío no está incluido en este precio</span></p>",Las Lira,Home & Garden > Plants > Flowers,Flores,"",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,84000,,true,false,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/MG_0059.jpg?v=1746030983,1,"",false,,,984,,,,,,,,,,,,,,,,,,,,,,kg,,,active
campana-donna,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/MG_0109-Edit.jpg?v=1746030983,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campana-donna,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/MG_0090-Edit.jpg?v=1746030983,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campana-donna,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/MG_0119-Edit.jpg?v=1746030983,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florero-mago-e,Florero Mago E,"<p><meta charset=""utf-8""><span>Florero de vidrio perfecto para veladores, baño o cualquier lugar mas pequeño. También una gran idea es juntar de a varios y hacer un conjunto como para centros de mesa por ejemplo. Florero no incluye flores.</span></p>",Las Lira,Home & Garden > Decor > Vases,Florero,Decoración,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,14000,,true,false,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/gris.jpg?v=1745269889,1,"",false,,,602,,,,,,,,,,,,,vidrio,,,,,,,redondo,,kg,,,active
florero-mago-e,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/Evarios.jpg?v=1745269889,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florero-mago-d,Florero Mago D,"<p><meta charset=""utf-8""><span>Florero de vidrio perfecto para veladores, baño o cualquier lugar mas pequeño. También una gran idea es juntar de a varios y hacer un conjunto como para centros de mesa por ejemplo. Florero no incluye flores.</span></p>",Las Lira,Home & Garden > Decor > Vases,Florero,Decoración,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,14000,,true,false,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/D.jpg?v=1745269136,1,"",false,,,602,,,,,,,,,,,,,vidrio,,,,,,,redondo,,kg,,,active
florero-mago-d,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/CD.jpg?v=1745269136,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florero-mago-c,Florero Mago C,"<p><meta charset=""utf-8""><span>Florero de vidrio perfecto para veladores, baño o cualquier lugar mas pequeño. También una gran idea es juntar de a varios y hacer un conjunto como para centros de mesa por ejemplo. Florero no incluye flores.</span></p>",Las Lira,Home & Garden > Decor > Vases,Florero,Decoración,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,14000,,true,false,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/magoC.jpg?v=1745267383,1,"",false,,,602,,,,,,,,,,,,,vidrio,,,,,,,redondo,,kg,,,active
florero-mago-c,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/CD.jpg?v=1745269136,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florero-mago-b,Florero Mago B,"<p><meta charset=""utf-8""><span>Florero de vidrio perfecto para veladores, baño o cualquier lugar mas pequeño. También una gran idea es juntar de a varios y hacer un conjunto como para centros de mesa por ejemplo. Florero no incluye flores.</span></p>",Las Lira,Home & Garden > Decor > Vases,Florero,Decoración,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,14000,,true,false,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/MagoB.jpg?v=1745267030,1,"",false,,,602,,,,,,,,,,,,,vidrio,,,,,,,redondo,,kg,,,active
florero-mago-b,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/AB._9f48ce81-686b-4072-8b38-6df73ee12f2d.jpg?v=1745269025,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florero-mago-b,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/AB_95a73a2d-3e8b-4c7a-80ab-30b4fda35b16.jpg?v=1745269025,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florero-mago-a,Florero Mago A,"<p><meta charset=""utf-8""><span>Florero de vidrio perfecto para veladores, baño o cualquier lugar mas pequeño. También una gran idea es juntar de a varios y hacer un conjunto como para centros de mesa por ejemplo. Florero no incluye flores.</span></p>",Las Lira,Home & Garden > Decor > Vases,Florero,Decoración,true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,14000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/MagoA.jpg?v=1745266030,1,"",false,,,602,,,,,,,,,,,,,vidrio,,,,,,,redondo,,kg,,,active
florero-mago-a,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/AB..jpg?v=1745269694,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florero-mago-a,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/AB.jpg?v=1745269694,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceramica-rectangular-alta,Cerámica Rectangular alta,"",Las Lira,Home & Garden > Decor > Vases,Florero,Decoración,true,Color,amarillo-1,product.metafields.shopify.color-pattern,,,,,,,"",0.0,shopify,deny,manual,35000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/ceramica1.jpg?v=1745264484,1,"",false,,,602,,,,,,,,,,,,amarillo-1; blanco,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/Ceramicarectangularalta.jpg?v=1745263552,kg,,,active
ceramica-rectangular-alta,,,,,,,,,blanco,,,,,,,,"",0.0,shopify,deny,manual,35000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/Ceramicarectangularalta.jpg?v=1745263552,2,"",,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/ceramica_rectangular_alta_bl.jpg?v=1745264733,kg,,,
ceramica-rectangular-alta,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/cermica2.jpg?v=1745264485,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceramica-rectangular-alta,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/ceramica_rectangular_alta_bl.jpg?v=1745264733,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brisero-polo-sur,Brisero Polo Sur,"<p>Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes ""regar"" las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas.</p>
<meta charset=""utf-8"">
<p style=""text-align: center;""><span style=""color: #b3b3b3;"">* El arreglo de las fotos es de tamaño M '70 x 65 cms' / El envío no está incluido en este precio</span></p>
<p> </p>",Las Lira,Uncategorized,"","",false,Tamaño,S (50 x 40 cms),,,,,,,,F137,0.0,shopify,deny,manual,90000,,true,false,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG-5345.jpg?v=1734707806,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,draft
brisero-polo-sur,,,,,,,,,M (70 x 65 cms),,,,,,,,F138,0.0,shopify,deny,manual,120000,,true,false,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG-5346.jpg?v=1734707807,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
brisero-polo-sur,,,,,,,,,L (80 x 70 cms),,,,,,,,F139,0.0,shopify,deny,manual,180000,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
